dummy,dummy
172108218032,GPSUG
172103209198,GPPNK
172111216623,MSANT
172103801312,GPPNK
172118203912,MSJNP
172108218186,GPSUG
172101812093,GPBAL
172101812221,GPBAL
172101812368,GPBAL
172111216608,MSANT
172104200935,MSKIM
172108218188,GPSUG
172108209009,MSSUG
172108217939,GPSUG
172111216781,ANT
172111216701,GPANT
172103801884,PNK
172101810953,MSBAL
172103801840,GPPNK
172118203848,MSJNP
172103801372,GPPNK
172103801443,MSPNK
172111216693,MSANT
172108218117,GPSUG
172102801335,GPMAT
172108209183,GPSUG
172102801319,GPMAT
172108218137,GPSUG
172104200741,GPKIM
172109203713,PKN_702
172103801666,GPPNK
172108208470,SUG
172108206587,GPSUG
172108208407,GPSUG
172103801807,PNK
172104200713,GPKIM
172102801264,GPMAT
172108208637,GPSUG
172104215650,GPKIM
172114203839,MSBLK
172103801387,GPPNK
172101812035,GPBAL
172114203909,GPBLK
172101812211,MSBAL
172101810973,GPBAL
172107200728,MSSUD
172103209235,GPPNK
172103435480,MSPNK
172101812141,GPBAL
172103801184,GPPNK
172103801357,GPPNK
172108217674,MSSUG
172101812275,MSBAL
172102801422,GPMAT
172101812086,GPBAL
172101812102,GPBAL
172101801252,GPBAL
172101812142,GPBAL
172106206186,GPTMA
172106206194,GPTMA
172103801598,MSPNK
172108217952,GPSUG
172101812989,MSBAL
172103207947,GPPNK
172102801517,GPMAT
172107200660,MSSUD
172102801036,GPMAT
172114203865,GPBLK
172102801221,GPMAT
172108208588,SUG
172108217957,GPSUG
172108217814,GPSUG
172106205823,GPTMA
172120204431,SIN
172103801276,PNK
172101812095,BAL
172102202480,GPMAT
172106206148,GPTMA
172103209151,PNK
172106213914,TMA
172102801272,GPMAT
172102801107,GPMAT
172101812373,BAL
172106200693,GPTMA
172111216532,ANT
172120204386,GPSIN
172101812239,GPBAL
172103801631,GPPNK
172103801197,PNK
172107200664,GPSUD
172111214977,ANT
172119300250,WTP
172103801750,GPPNK
172117203720,GPTKA
172108217675,GPSUG
172103801515,GPPNK
172108217950,SUG
172103801863,GPPNK
172103801289,GPPNK
172119300186,GPWTP
172108209241,GPSUG
172102233220,MAT
172103801356,GPPNK
172103801730,GPPNK
172108217960,GPSUG
172104200828,GPKIM
172104200752,GPKIM
172102801537,GPMAT
172103209387,GPPNK
172101812196,GPBAL
172106206156,GPTMA
172103209057,GPPNK
172107200784,GPSUD
172102801465,GPMAT
172102801515,GPMAT
172102801318,GPMAT
172102801505,GPMAT
172107200656,GPSUD
172107200632,SUD
172104200703,GPKIM
172101801108,GPBAL
172108209324,GPSUG
172107200680,GPSUD
172103208904,GPPNK
172108206190,GPSUG
172103801782,MSPNK
172108208705,GPSUG
172106205895,GPTMA
172103801824,GPPNK
172102801067,GPMAT
172101810003,GPBAL
172102801274,GPMAT
172111216711,MSANT
172102801470,GPMAT
172101812054,GPBAL
172104215880,GPKIM
172103209127,GPPNK
172106206154,GPTMA
172103801834,GPPNK
172103209257,GPPNK
172101812189,GPBAL
172103801511,MSPNK
172106205934,MSTMA
172103208890,GPPNK
172101812303,GPBAL
172101812296,MSBAL
172104200734,GPKIM
172111216633,GPANT
172103801810,GPPNK
172103209100,MSPNK
172103801489,GPPNK
172114203738,GPBLK
172103207917,GPPNK
172106205762,GPTMA
172119300230,MSWTP
172103801505,MSPNK
172111216618,MSANT
172108218099,MSSUG
172111216628,GPANT
172120204442,MSSIN
172103801753,MSPNK
172117203753,GPTKA
172101812402,MSBAL
172113203610,MSBTN
172108217970,MSSUG
172111216742,MSANT
172104200774,GPKIM
172104200775,GPKIM
172111216751,GPANT
172103801788,MSPNK
172111216710,GPANT
172108217692,GPSUG
172103208970,PNK
172108217868,SUG
172108206921,GPSUG
172104200836,GPKIM
172102801286,GPMAT
172108217879,GPSUG
172113203647,MSBTN
172106206107,GPTMA
172119300219,GPWTP
172108209340,GPSUG
172103801625,GPPNK
172103801282,GPPNK
172108218056,MSSUG
172101812072,GPBAL
172103209117,GPPNK
172114203857,GPBLK
172103801315,GPPNK
172112203602,MSMAR
172106201081,GPTMA
172108208706,GPSUG
172103801671,MSPNK
172108218044,GPSUG
172106205821,GPTMA
172119300168,GPWTP
172104200919,MSKIM
172102801330,GPMAT
172108218072,MSSUG
172120204367,MSSIN
172101812284,GPBAL
172101812357,MSBAL
172112203518,GPMRS
172108218037,MSSUG
172103801532,GPPNK
172108208616,GPSUG
172106205878,GPTMA
172102208117,GPMAT
172103209263,GPPNK
172114203884,MSBLK
172103801620,GPPNK
172102801127,GPMAT
172103208653,MSPNK
172101812387,GPBAL
172120204418,MSSIN
172120204432,MSSIN
172103801491,MSPNK
172120204428,GPSIN
172103209417,MSPNK
172108209062,MSSUG
172103209375,GPPNK
172101812366,GPBAL
172103801486,GPPNK
172108208618,GPSUG
172103209453,GPPNK
172111216534,GPANT
172103209019,GPPNK
172108208454,GPSUG
172101812210,GPBAL
172101800458,GPBAL
172111216575,GPANT
172102801231,MSMAT
172120204436,GPSIN
172103801345,GPPNK
172102801086,MAT
172111216592,GPANT
172102801559,GPMAT
172108208580,GPSUG
172111216503,GPANT
172108209104,MSSUG
172109210104,GPPKN
172106205698,GPTMA
172103801170,MSPNK
172103801713,GPPNK
172107200669,GPSUD
172101801236,BAL
172103801619,MSPNK
172103801439,GPPNK
172103209108,GPPNK
172108206948,GPSUG
172102801403,GPMAT
172102801122,GPMAT
172103209246,MSPNK
172103209474,GPPNK
172103801346,MSPNK
172108208689,GPSUG
172107200577,GPSUD
172103209255,GPPNK
172102801337,MAT
172101801081,MSBAL
172109203650,GPPKN
172102801312,GPMAT
172107200589,MSSUD
172112203536,MSMRS
172106205710,GPTMA
172104200852,MSKIM
172103209239,MSPNK
172103801445,MSPNK
172107200731,GPSUD
172109203712,GPPKN
172104200707,GPKIM
172103208996,GPPNK
172108217739,GPSUG
172102801375,GPMAT
172103801354,GPPNK
172103801455,PNK
172103209232,GPPNK
172120204445,MSSIN
172101810954,MSBAL
172103801599,GPPNK
172102801186,GPMAT
172106205887,GPTMA
172109203611,GPPKN
172114203748,GPBLK
172106206101,TMA
172111216577,GPANT
172103801452,GPPNK
172106205645,TMA
172112203613,GPMAR
172103801367,PNK
172103208956,GPPNK
172103801426,GPPNK
172106206094,GPTMA
172103801186,GPPNK
172103209045,GPPNK
172102801604,GPPNK
172103292204,MSPNK
172114203758,GPBLK
172102801155,GPMAT
172104200768,MSKIM
172102801385,MSMAT
172101809029,GPBAL
172108217948,GPSUG
172104200848,GPKIM
172104200753,GPKIM
172107200657,MSSUD
172103801699,MSPNK
172106212013,GPTMA
172106206117,GPTMA
172102801523,GPMAT
172101806076,GPBAL
172103208436,GPPNK
172111216591,GPANT
172103801384,GPPNK
172108217942,GPSUG
172102801373,MSMAT
172102801024,GPMAT
172107200711,MSSUD
172108217655,GPSUG
172102801119,GPMAT
172106205718,GPTMA
172106206096,GPTMA
172104200858,MSKIM
172102801386,GPMAT
172114203784,GPBLK
172120204395,MSSIN
172101812214,GPBAL
172101810892,GPBAL
172108217668,GPSUG
